#A
abóbada,abobada
acúmulo,acumulo
adúltera,adultera
agência,agencia
alívio,alivio
#ana,anã

#B
bebê,bebe

#C
caqui,cáqui
#contém,contêm,contem
crítico,critico

#D
#dê,de
diagnóstico,diagnostico
dívida,divida
dó,do
dúvida,duvida

#E
#e,é
exército,exercito

#F
fábrica,fabrica

#G
gerência,gerencia

#H
hábito,habito

#I
influência,influencia

#L
lá,lã
lápide,lapide
líquido,liquido

#M
#maçã,maça,maca
mágoa,magoa
máquina,maquina
#metrô,metro

#N
náufrago,naufrago

#P
porém,porem
pós,pôs
público,publico

#R
réplica,replica
reverência,reverencia
#roma,romã
#roca,roça

#T
terça,terçã
término,termino
#tem,têm

#V
vivência,vivencia
